
=========================================
FILE: DualSense Controller pos.png
Resolution: 1467 x 816
  Cluster 117: RawCenter=(1320.2, 324.8), ScaledCenter=(378.0, 103.5), Size=47, Color=[236, 58, 65]
  Cluster 118: RawCenter=(1332.1, 323.5), ScaledCenter=(381.4, 103.1), Size=78, Color=[236, 75, 81]
  Cluster 119: RawCenter=(1357.6, 443.7), ScaledCenter=(388.7, 141.4), Size=62, Color=[231, 79, 85]
  Cluster 120: RawCenter=(1368.0, 443.5), ScaledCenter=(391.7, 141.3), Size=46, Color=[236, 79, 86]
  Cluster 121: RawCenter=(1377.8, 443.5), ScaledCenter=(394.5, 141.3), Size=91, Color=[236, 74, 81]
  Cluster 122: RawCenter=(1389.6, 443.6), ScaledCenter=(397.8, 141.3), Size=61, Color=[236, 83, 89]
  Cluster 123: RawCenter=(1401.2, 444.8), ScaledCenter=(401.2, 141.7), Size=47, Color=[236, 58, 65]
  Cluster 124: RawCenter=(1413.5, 443.3), ScaledCenter=(404.7, 141.3), Size=83, Color=[236, 83, 89]

=========================================
FILE: DualShock 4 Controller V2 Model pos.png
Resolution: 1466 x 783
  Cluster 1: RawCenter=(124.9, 366.0), ScaledCenter=(35.8, 121.5), Size=192, Color=[209, 165, 16]
  Cluster 2: RawCenter=(143.4, 368.4), ScaledCenter=(41.1, 122.3), Size=105, Color=[231, 182, 14]
  Cluster 3: RawCenter=(212.5, 407.5), ScaledCenter=(60.9, 135.3), Size=300, Color=[244, 194, 18]
  Cluster 4: RawCenter=(230.9, 500.0), ScaledCenter=(66.1, 166.0), Size=192, Color=[208, 164, 15]
  Cluster 5: RawCenter=(231.9, 281.0), ScaledCenter=(66.4, 93.3), Size=192, Color=[208, 164, 15]
  Cluster 6: RawCenter=(237.5, 115.9), ScaledCenter=(68.1, 38.5), Size=118, Color=[221, 178, 28]
  Cluster 7: RawCenter=(244.5, 34.9), ScaledCenter=(70.1, 11.6), Size=118, Color=[239, 189, 18]
  Cluster 8: RawCenter=(252.6, 280.9), ScaledCenter=(72.4, 93.3), Size=162, Color=[209, 165, 15]
  Cluster 9: RawCenter=(252.7, 499.9), ScaledCenter=(72.4, 166.0), Size=173, Color=[228, 180, 18]
  Cluster 10: RawCenter=(256.8, 115.0), ScaledCenter=(73.6, 38.2), Size=94, Color=[228, 182, 25]
